"","Cell","Batch","Group","ExpLibSize"
"Cell1468","Cell1468","Batch1","Group3",59800.4946841147
"Cell1469","Cell1469","Batch1","Group4",41026.4437144361
"Cell1470","Cell1470","Batch1","Group3",56763.1896890425
"Cell1471","Cell1471","Batch1","Group6",70550.6522207272
"Cell1472","Cell1472","Batch1","Group3",69957.1861868494
"Cell1473","Cell1473","Batch1","Group4",65566.384009079
"Cell1474","Cell1474","Batch1","Group1",79380.6912657427
"Cell1475","Cell1475","Batch1","Group3",41680.4377487267
"Cell1476","Cell1476","Batch1","Group4",48026.5687212245
"Cell1477","Cell1477","Batch1","Group1",59645.0491487276
"Cell1478","Cell1478","Batch1","Group3",61688.9896329412
"Cell1479","Cell1479","Batch1","Group5",53826.0928585248
"Cell1480","Cell1480","Batch1","Group6",76082.1704428301
"Cell1481","Cell1481","Batch1","Group3",39794.3748645034
"Cell1482","Cell1482","Batch1","Group1",48880.6957233697
"Cell1483","Cell1483","Batch1","Group1",82518.9831198519
"Cell1484","Cell1484","Batch1","Group5",71572.772396284
"Cell1485","Cell1485","Batch1","Group2",44199.0638365267
"Cell1486","Cell1486","Batch1","Group5",70594.3685860932
"Cell1487","Cell1487","Batch1","Group2",64415.6857255498
"Cell1488","Cell1488","Batch1","Group1",45881.4266651265
"Cell1489","Cell1489","Batch1","Group2",64338.6122076349
"Cell1490","Cell1490","Batch1","Group5",71581.9998069061
"Cell1491","Cell1491","Batch1","Group6",49068.8749229928
"Cell1492","Cell1492","Batch1","Group3",66432.0157730614
"Cell1493","Cell1493","Batch1","Group3",46763.2683930735
"Cell1494","Cell1494","Batch1","Group4",66565.7443338849
"Cell1495","Cell1495","Batch1","Group4",49187.3450915443
"Cell1496","Cell1496","Batch1","Group5",55539.5635844101
"Cell1497","Cell1497","Batch1","Group5",48613.3237280973
"Cell1498","Cell1498","Batch1","Group6",68839.5333462745
"Cell1499","Cell1499","Batch1","Group3",58169.1392306352
"Cell1500","Cell1500","Batch1","Group2",66151.8859557608
"Cell1501","Cell1501","Batch1","Group2",67742.3855469915
"Cell1502","Cell1502","Batch1","Group1",59819.7870125229
"Cell1503","Cell1503","Batch1","Group2",58791.2743802879
"Cell1504","Cell1504","Batch1","Group1",64860.3564132793
"Cell1505","Cell1505","Batch1","Group4",67358.2272693609
"Cell1506","Cell1506","Batch1","Group6",59672.3708320586
"Cell1507","Cell1507","Batch1","Group5",65103.9717563451
"Cell1508","Cell1508","Batch1","Group3",70273.1867267212
"Cell1509","Cell1509","Batch1","Group2",68595.2535279525
"Cell1510","Cell1510","Batch1","Group4",77802.8066343863
"Cell1511","Cell1511","Batch1","Group5",41017.623886866
"Cell1512","Cell1512","Batch1","Group2",64150.134515635
"Cell1513","Cell1513","Batch1","Group5",61756.377674117
"Cell1514","Cell1514","Batch1","Group2",51364.967535508
"Cell1515","Cell1515","Batch1","Group1",51504.1152556259
"Cell1516","Cell1516","Batch1","Group2",66493.1447677449
"Cell1517","Cell1517","Batch1","Group5",55765.7377195802
"Cell1518","Cell1518","Batch1","Group3",56837.221635758
"Cell1519","Cell1519","Batch1","Group5",66266.6227630168
"Cell1520","Cell1520","Batch1","Group1",75255.2571109425
"Cell1521","Cell1521","Batch1","Group6",90523.3858653787
"Cell1522","Cell1522","Batch1","Group4",69840.7736990404
"Cell1523","Cell1523","Batch1","Group4",89357.4224799891
"Cell1524","Cell1524","Batch1","Group6",77213.0823189035
"Cell1525","Cell1525","Batch1","Group4",64004.2040950834
"Cell1526","Cell1526","Batch1","Group3",62995.2455596109
"Cell1527","Cell1527","Batch1","Group5",88096.0393333972
"Cell1528","Cell1528","Batch1","Group6",48894.1984107548
"Cell1529","Cell1529","Batch1","Group6",60650.8475112174
"Cell1530","Cell1530","Batch1","Group6",62222.676004101
"Cell1531","Cell1531","Batch1","Group3",37496.2087736789
"Cell1532","Cell1532","Batch1","Group1",55806.5664518019
"Cell1533","Cell1533","Batch1","Group3",64171.7388375298
"Cell1534","Cell1534","Batch1","Group6",34003.263635081
"Cell1535","Cell1535","Batch1","Group3",64445.4585199455
"Cell1536","Cell1536","Batch1","Group1",56551.2839954489
"Cell1537","Cell1537","Batch1","Group3",65417.6024662371
"Cell1538","Cell1538","Batch1","Group3",69115.4950801701
"Cell1539","Cell1539","Batch1","Group5",79600.7677801492
"Cell1540","Cell1540","Batch1","Group6",42741.335214156
"Cell1541","Cell1541","Batch1","Group1",60375.9341468285
"Cell1542","Cell1542","Batch1","Group6",52754.8628558401
"Cell1543","Cell1543","Batch1","Group2",60235.6620817863
"Cell1544","Cell1544","Batch1","Group3",58347.470411497
"Cell1545","Cell1545","Batch1","Group4",47326.2383588733
"Cell1546","Cell1546","Batch1","Group1",41715.8371710517
"Cell1547","Cell1547","Batch1","Group2",91497.1172131569
"Cell1548","Cell1548","Batch1","Group5",45941.2581798989
"Cell1549","Cell1549","Batch1","Group6",63259.7356872149
"Cell1550","Cell1550","Batch1","Group6",47965.024274839
"Cell1551","Cell1551","Batch1","Group4",80946.85449645
"Cell1552","Cell1552","Batch1","Group1",42046.8706993508
"Cell1553","Cell1553","Batch1","Group5",50125.319829668
"Cell1554","Cell1554","Batch1","Group4",46919.5505043017
"Cell1555","Cell1555","Batch1","Group5",60479.2901142381
"Cell1556","Cell1556","Batch1","Group6",54275.9994804065
"Cell1557","Cell1557","Batch1","Group2",96472.3764257798
"Cell1558","Cell1558","Batch1","Group4",59821.6176995515
"Cell1559","Cell1559","Batch1","Group4",78146.3063465022
"Cell1560","Cell1560","Batch1","Group5",70555.9812387362
"Cell1561","Cell1561","Batch1","Group4",68674.6768946074
"Cell1562","Cell1562","Batch1","Group1",66381.6664444339
"Cell1563","Cell1563","Batch1","Group6",63244.3054065226
"Cell1564","Cell1564","Batch1","Group3",51913.4308105875
"Cell1565","Cell1565","Batch1","Group2",55903.997654721
"Cell1566","Cell1566","Batch1","Group6",65761.8989648471
"Cell1567","Cell1567","Batch1","Group2",36491.4584382123
"Cell1568","Cell1568","Batch1","Group1",41312.1424712476
"Cell1569","Cell1569","Batch1","Group6",55044.5654168619
"Cell1570","Cell1570","Batch1","Group4",41224.6841818178
"Cell1571","Cell1571","Batch1","Group3",61248.8859792592
"Cell1572","Cell1572","Batch1","Group1",65775.567608878
"Cell1573","Cell1573","Batch1","Group3",71461.8365777034
"Cell1574","Cell1574","Batch1","Group2",74811.1336583517
"Cell1575","Cell1575","Batch1","Group5",67061.8150600686
"Cell1576","Cell1576","Batch1","Group6",66783.0489121421
"Cell1577","Cell1577","Batch1","Group4",62816.2150804454
"Cell1578","Cell1578","Batch1","Group2",60284.305111663
"Cell1579","Cell1579","Batch1","Group1",50938.8797197947
"Cell1580","Cell1580","Batch1","Group2",93482.2132580064
"Cell1581","Cell1581","Batch1","Group5",51097.7208919744
"Cell1582","Cell1582","Batch1","Group3",84074.2912391279
"Cell1583","Cell1583","Batch1","Group5",72242.584314273
"Cell1584","Cell1584","Batch1","Group2",89954.4753288177
"Cell1585","Cell1585","Batch1","Group6",69308.6694266744
"Cell1586","Cell1586","Batch1","Group3",55051.8381353292
"Cell1587","Cell1587","Batch1","Group4",56277.5680474997
"Cell1588","Cell1588","Batch1","Group3",45609.1988856749
"Cell1589","Cell1589","Batch1","Group5",73684.1402800869
"Cell1590","Cell1590","Batch1","Group4",60430.1580911989
"Cell1591","Cell1591","Batch1","Group2",59186.2972639926
"Cell1592","Cell1592","Batch1","Group6",60800.1669683187
"Cell1593","Cell1593","Batch1","Group2",52747.505819551
"Cell1594","Cell1594","Batch1","Group3",55012.5878250429
"Cell1595","Cell1595","Batch1","Group2",69936.1667489958
"Cell1596","Cell1596","Batch1","Group5",77822.1557025783
"Cell1597","Cell1597","Batch1","Group5",60576.3760112084
"Cell1598","Cell1598","Batch1","Group2",62886.0521358898
"Cell1599","Cell1599","Batch1","Group2",62721.8370111007
"Cell1600","Cell1600","Batch1","Group5",62177.9167768434
"Cell1601","Cell1601","Batch1","Group6",57047.3453605426
"Cell1602","Cell1602","Batch1","Group5",67132.7487942903
"Cell1603","Cell1603","Batch1","Group6",68951.4808078909
"Cell1604","Cell1604","Batch1","Group2",62378.7480856994
"Cell1605","Cell1605","Batch1","Group5",66864.3136821348
"Cell1606","Cell1606","Batch1","Group6",53435.2402961028
"Cell1607","Cell1607","Batch1","Group4",62226.9553819036
"Cell1608","Cell1608","Batch1","Group1",67796.7436708941
"Cell1609","Cell1609","Batch1","Group2",58603.9205946981
"Cell1610","Cell1610","Batch1","Group5",58406.6373778415
"Cell1611","Cell1611","Batch1","Group4",54556.6903877607
"Cell1612","Cell1612","Batch1","Group4",67149.8220893998
"Cell1613","Cell1613","Batch1","Group3",63006.1245887885
"Cell1614","Cell1614","Batch1","Group1",102173.623896781
"Cell1615","Cell1615","Batch1","Group6",58285.0552025448
"Cell1616","Cell1616","Batch1","Group6",61225.2406480791
"Cell1617","Cell1617","Batch1","Group1",48922.8312164583
"Cell1618","Cell1618","Batch1","Group6",71508.8116009721
"Cell1619","Cell1619","Batch1","Group6",56306.0060690411
"Cell1620","Cell1620","Batch1","Group1",61490.1942828663
"Cell1621","Cell1621","Batch1","Group2",72335.1366317134
"Cell1622","Cell1622","Batch1","Group1",81237.9146183462
"Cell1623","Cell1623","Batch1","Group1",56983.0928619992
"Cell1624","Cell1624","Batch1","Group2",55752.5963634215
"Cell1625","Cell1625","Batch1","Group1",62417.0454622472
"Cell1626","Cell1626","Batch1","Group6",76255.9458270416
"Cell1627","Cell1627","Batch1","Group5",61286.3105103631
"Cell1628","Cell1628","Batch1","Group3",62218.8469643626
"Cell1629","Cell1629","Batch1","Group2",70075.1293491443
"Cell1630","Cell1630","Batch1","Group3",69422.6274944258
"Cell1631","Cell1631","Batch1","Group3",74409.4632006333
"Cell1632","Cell1632","Batch1","Group3",40515.4450664532
"Cell1633","Cell1633","Batch1","Group4",47264.4938813198
"Cell1634","Cell1634","Batch1","Group2",47281.0237335393
"Cell1635","Cell1635","Batch1","Group6",64562.9644974306
"Cell1636","Cell1636","Batch1","Group6",45644.6549645489
"Cell1637","Cell1637","Batch1","Group2",57198.236453774
"Cell1638","Cell1638","Batch1","Group3",65163.2743895332
"Cell1639","Cell1639","Batch1","Group1",88272.3015748043
"Cell1640","Cell1640","Batch1","Group1",57056.4341820454
"Cell1641","Cell1641","Batch1","Group2",59623.5485915274
"Cell1642","Cell1642","Batch1","Group6",62763.5274880532
"Cell1643","Cell1643","Batch1","Group4",53153.0643509815
"Cell1644","Cell1644","Batch1","Group2",31573.9695992152
"Cell1645","Cell1645","Batch1","Group4",81004.1522207602
"Cell1646","Cell1646","Batch1","Group3",55897.9283933453
"Cell1647","Cell1647","Batch1","Group3",51876.1370817202
"Cell1648","Cell1648","Batch1","Group1",63422.9986551948
"Cell1649","Cell1649","Batch1","Group4",52918.3505369437
"Cell1650","Cell1650","Batch1","Group3",71972.0754202239
"Cell1651","Cell1651","Batch1","Group6",54675.985329357
"Cell1652","Cell1652","Batch1","Group2",71050.9329903686
"Cell1653","Cell1653","Batch1","Group3",57141.8146065063
"Cell1654","Cell1654","Batch1","Group1",49233.3099164417
"Cell1655","Cell1655","Batch1","Group2",69386.1939805299
"Cell1656","Cell1656","Batch1","Group6",97569.5489187456
"Cell1657","Cell1657","Batch1","Group5",49094.4596682454
"Cell1658","Cell1658","Batch1","Group4",54822.3244853752
"Cell1659","Cell1659","Batch1","Group4",47387.9138707677
"Cell1660","Cell1660","Batch1","Group1",82322.3237108942
"Cell1661","Cell1661","Batch1","Group4",61417.7980925092
"Cell1662","Cell1662","Batch1","Group1",37593.2679282322
"Cell1663","Cell1663","Batch1","Group6",38586.008534129
"Cell1664","Cell1664","Batch1","Group6",72246.0586468282
"Cell1665","Cell1665","Batch1","Group4",63565.8993068387
"Cell1666","Cell1666","Batch1","Group2",40215.7770402471
"Cell1667","Cell1667","Batch1","Group6",47059.7354123534
"Cell1668","Cell1668","Batch1","Group4",64839.427578842
"Cell1669","Cell1669","Batch1","Group2",60412.5000635168
"Cell1670","Cell1670","Batch1","Group5",41223.6680392277
"Cell1671","Cell1671","Batch1","Group2",69598.9366089127
"Cell1672","Cell1672","Batch1","Group3",54987.6077445127
"Cell1673","Cell1673","Batch1","Group5",76790.3348774996
"Cell1674","Cell1674","Batch1","Group3",65517.3227325272
"Cell1675","Cell1675","Batch1","Group4",75853.6797049533
"Cell1676","Cell1676","Batch1","Group3",40425.0280280322
"Cell1677","Cell1677","Batch1","Group6",69516.7196928395
"Cell1678","Cell1678","Batch1","Group2",73884.9734075119
"Cell1679","Cell1679","Batch1","Group2",66491.8203626226
"Cell1680","Cell1680","Batch1","Group1",47900.5920790859
"Cell1681","Cell1681","Batch1","Group6",59304.8729217375
"Cell1682","Cell1682","Batch1","Group6",40806.400030541
"Cell1683","Cell1683","Batch1","Group3",53404.6955340639
"Cell1684","Cell1684","Batch1","Group2",51552.7416992197
"Cell1685","Cell1685","Batch1","Group2",64153.6195245347
"Cell1686","Cell1686","Batch1","Group4",92299.1508805566
"Cell1687","Cell1687","Batch1","Group4",64044.2332690989
"Cell1688","Cell1688","Batch1","Group2",55073.6799574174
"Cell1689","Cell1689","Batch1","Group5",72022.8136558631
"Cell1690","Cell1690","Batch1","Group6",69797.4893193724
"Cell1691","Cell1691","Batch1","Group2",62928.1972738751
"Cell1692","Cell1692","Batch1","Group4",52499.3670864081
"Cell1693","Cell1693","Batch1","Group3",67280.4399574664
"Cell1694","Cell1694","Batch1","Group1",68743.4386759305
"Cell1695","Cell1695","Batch1","Group2",63473.1928560604
"Cell1696","Cell1696","Batch1","Group1",87958.0111434425
"Cell1697","Cell1697","Batch1","Group1",94961.4168532923
"Cell1698","Cell1698","Batch1","Group2",49126.8470001093
"Cell1699","Cell1699","Batch1","Group6",64879.4026469231
"Cell1700","Cell1700","Batch1","Group3",46794.5660606367
"Cell1701","Cell1701","Batch1","Group2",53694.3000909421
"Cell1702","Cell1702","Batch1","Group2",54890.381303033
"Cell1703","Cell1703","Batch1","Group6",58211.0781372772
"Cell1704","Cell1704","Batch1","Group4",85103.9095371305
"Cell1705","Cell1705","Batch1","Group4",50714.731823565
"Cell1706","Cell1706","Batch1","Group5",66362.3761897574
"Cell1707","Cell1707","Batch1","Group2",70082.3469985467
"Cell1708","Cell1708","Batch1","Group2",62843.5197904703
"Cell1709","Cell1709","Batch1","Group5",66968.8832449306
"Cell1710","Cell1710","Batch1","Group6",52570.809814707
"Cell1711","Cell1711","Batch1","Group4",54629.0721353166
"Cell1712","Cell1712","Batch1","Group6",52255.6206169124
"Cell1713","Cell1713","Batch1","Group6",38619.4971099781
"Cell1714","Cell1714","Batch1","Group1",67859.6865304621
"Cell1715","Cell1715","Batch1","Group4",55100.1470224582
"Cell1716","Cell1716","Batch1","Group2",57799.7213229195
"Cell1717","Cell1717","Batch1","Group1",68394.783269463
"Cell1718","Cell1718","Batch1","Group3",60474.4779673137
"Cell1719","Cell1719","Batch1","Group3",58554.3078223346
"Cell1720","Cell1720","Batch1","Group6",53861.4197281732
"Cell1721","Cell1721","Batch1","Group5",82716.340631997
"Cell1722","Cell1722","Batch1","Group5",61568.2822678426
"Cell1723","Cell1723","Batch1","Group5",61323.3976206667
"Cell1724","Cell1724","Batch1","Group3",72836.548720522
"Cell1725","Cell1725","Batch1","Group5",64594.004094372
"Cell1726","Cell1726","Batch1","Group4",50209.3968352031
"Cell1727","Cell1727","Batch1","Group5",55199.5127697181
"Cell1728","Cell1728","Batch1","Group6",51255.3339194561
"Cell1729","Cell1729","Batch1","Group4",42757.4870390574
"Cell1730","Cell1730","Batch1","Group2",57907.5752293342
"Cell1731","Cell1731","Batch1","Group4",67426.2472267311
"Cell1732","Cell1732","Batch1","Group5",53979.9614193294
"Cell1733","Cell1733","Batch1","Group1",65397.5236939486
"Cell1734","Cell1734","Batch1","Group2",69641.7952815979
"Cell1735","Cell1735","Batch1","Group6",58536.6204498055
"Cell1736","Cell1736","Batch1","Group2",54452.0034754202
"Cell1737","Cell1737","Batch1","Group3",52029.9926972604
"Cell1738","Cell1738","Batch1","Group1",56620.4662204276
"Cell1739","Cell1739","Batch1","Group1",81866.2379531362
"Cell1740","Cell1740","Batch1","Group2",60974.9694411422
"Cell1741","Cell1741","Batch1","Group5",54587.6204202275
"Cell1742","Cell1742","Batch1","Group2",54716.0437413603
"Cell1743","Cell1743","Batch1","Group3",60755.8907197543
"Cell1744","Cell1744","Batch1","Group3",61467.914475359
"Cell1745","Cell1745","Batch1","Group5",78364.576962603
"Cell1746","Cell1746","Batch1","Group2",55013.1598495282
"Cell1747","Cell1747","Batch1","Group4",72793.9740524203
"Cell1748","Cell1748","Batch1","Group5",52775.5829703512
"Cell1749","Cell1749","Batch1","Group5",62564.3080912999
"Cell1750","Cell1750","Batch1","Group3",55874.6184346092
"Cell1751","Cell1751","Batch1","Group2",73216.8605523623
"Cell1752","Cell1752","Batch1","Group6",79178.744157622
"Cell1753","Cell1753","Batch1","Group3",81395.2516011275
"Cell1754","Cell1754","Batch1","Group5",68658.8727836201
"Cell1755","Cell1755","Batch1","Group1",54118.3983122608
"Cell1756","Cell1756","Batch1","Group3",58404.8014224408
"Cell1757","Cell1757","Batch1","Group6",63593.5258309421
"Cell1758","Cell1758","Batch1","Group3",39439.6356516176
"Cell1759","Cell1759","Batch1","Group3",79545.0981823968
"Cell1760","Cell1760","Batch1","Group5",48349.1601510999
"Cell1761","Cell1761","Batch1","Group3",54618.5922188783
"Cell1762","Cell1762","Batch1","Group3",78145.9274017261
"Cell1763","Cell1763","Batch1","Group1",64987.827073005
"Cell1764","Cell1764","Batch1","Group3",65806.0659559126
"Cell1765","Cell1765","Batch1","Group1",51537.2576258634
"Cell1766","Cell1766","Batch1","Group1",43462.8438279393
"Cell1767","Cell1767","Batch1","Group3",51108.7265142114
"Cell1768","Cell1768","Batch1","Group4",66197.7735727564
"Cell1769","Cell1769","Batch1","Group2",69108.9175398429
"Cell1770","Cell1770","Batch1","Group1",60395.5700761688
"Cell1771","Cell1771","Batch1","Group1",55335.5661912961
"Cell1772","Cell1772","Batch1","Group5",64602.0204166786
"Cell1773","Cell1773","Batch1","Group5",52865.9323522291
"Cell1774","Cell1774","Batch1","Group6",66322.0328314918
"Cell1775","Cell1775","Batch1","Group5",48036.9309415627
"Cell1776","Cell1776","Batch1","Group2",86879.9986747093
"Cell1777","Cell1777","Batch1","Group5",34856.7531670294
"Cell1778","Cell1778","Batch1","Group4",79505.9836043389
"Cell1779","Cell1779","Batch1","Group1",52519.4103066532
"Cell1780","Cell1780","Batch1","Group4",76915.0318808574
"Cell1781","Cell1781","Batch1","Group4",44709.5548845367
"Cell1782","Cell1782","Batch1","Group2",56041.7946643655
"Cell1783","Cell1783","Batch1","Group1",62452.6256125453
"Cell1784","Cell1784","Batch1","Group3",48927.7572407469
"Cell1785","Cell1785","Batch1","Group4",53800.8567511577
"Cell1786","Cell1786","Batch1","Group4",66105.7925397768
"Cell1787","Cell1787","Batch1","Group6",66816.0640200599
"Cell1788","Cell1788","Batch1","Group5",46838.0636484083
"Cell1789","Cell1789","Batch1","Group2",48956.0125633683
"Cell1790","Cell1790","Batch1","Group4",62407.0444817856
"Cell1791","Cell1791","Batch1","Group5",79497.4509071878
"Cell1792","Cell1792","Batch1","Group6",69523.3453392131
"Cell1793","Cell1793","Batch1","Group1",44183.7956030474
"Cell1794","Cell1794","Batch1","Group6",51843.5522559904
"Cell1795","Cell1795","Batch1","Group4",41454.7435009017
"Cell1796","Cell1796","Batch1","Group2",70044.0194637458
"Cell1797","Cell1797","Batch1","Group1",50301.4694860043
"Cell1798","Cell1798","Batch1","Group2",59744.1607746208
"Cell1799","Cell1799","Batch1","Group1",67631.4446648756
"Cell1800","Cell1800","Batch1","Group2",58301.8830067038
"Cell1801","Cell1801","Batch1","Group6",50518.4445616223
"Cell1802","Cell1802","Batch1","Group4",61268.9056856116
"Cell1803","Cell1803","Batch1","Group4",45877.6142081765
"Cell1804","Cell1804","Batch1","Group1",96268.0391516301
"Cell1805","Cell1805","Batch1","Group5",36345.7557882831
"Cell1806","Cell1806","Batch1","Group5",93035.3893886327
"Cell1807","Cell1807","Batch1","Group3",67122.8220709123
"Cell1808","Cell1808","Batch1","Group2",53276.5181241549
"Cell1809","Cell1809","Batch1","Group1",63257.6957752643
"Cell1810","Cell1810","Batch1","Group6",59298.6702611526
"Cell1811","Cell1811","Batch1","Group2",93947.7192518094
"Cell1812","Cell1812","Batch1","Group4",93115.5472450934
"Cell1813","Cell1813","Batch1","Group5",69798.5840640371
"Cell1814","Cell1814","Batch1","Group5",56565.9023819035
"Cell1815","Cell1815","Batch1","Group5",61717.88625156
"Cell1816","Cell1816","Batch1","Group5",51214.541412739
"Cell1817","Cell1817","Batch1","Group5",49440.2588299031
"Cell1818","Cell1818","Batch1","Group2",56338.4075712456
"Cell1819","Cell1819","Batch1","Group2",81322.3146390942
"Cell1820","Cell1820","Batch1","Group1",54411.9355717543
"Cell1821","Cell1821","Batch1","Group5",63271.6637422247
"Cell1822","Cell1822","Batch1","Group6",77540.5241692337
"Cell1823","Cell1823","Batch1","Group5",65173.1035989698
"Cell1824","Cell1824","Batch1","Group4",66539.6341096329
"Cell1825","Cell1825","Batch1","Group1",52534.953267428
"Cell1826","Cell1826","Batch1","Group2",61349.0589224965
"Cell1827","Cell1827","Batch1","Group6",49149.7672005342
"Cell1828","Cell1828","Batch1","Group2",51476.5224293178
"Cell1829","Cell1829","Batch1","Group1",47467.5694447385
"Cell1830","Cell1830","Batch1","Group6",54799.6833851455
"Cell1831","Cell1831","Batch1","Group3",64022.4803930945
"Cell1832","Cell1832","Batch1","Group6",58680.8247012068
"Cell1833","Cell1833","Batch1","Group4",49261.2295318102
"Cell1834","Cell1834","Batch1","Group3",49284.0941882814
"Cell1835","Cell1835","Batch1","Group5",45790.9931526332
"Cell1836","Cell1836","Batch1","Group6",65044.0804897407
"Cell1837","Cell1837","Batch1","Group5",63248.8665306408
"Cell1838","Cell1838","Batch1","Group6",45125.7091115977
"Cell1839","Cell1839","Batch1","Group3",42770.9274407759
"Cell1840","Cell1840","Batch1","Group1",59040.7272554101
"Cell1841","Cell1841","Batch1","Group1",54608.1377759313
"Cell1842","Cell1842","Batch1","Group6",47031.4054827066
"Cell1843","Cell1843","Batch1","Group3",73724.3372109712
"Cell1844","Cell1844","Batch1","Group1",59086.5736606954
"Cell1845","Cell1845","Batch1","Group2",59636.8198064807
"Cell1846","Cell1846","Batch1","Group5",67718.2669609575
"Cell1847","Cell1847","Batch1","Group5",65125.8345775499
"Cell1848","Cell1848","Batch1","Group6",56072.9625589644
"Cell1849","Cell1849","Batch1","Group6",47720.1366401217
"Cell1850","Cell1850","Batch1","Group1",75845.5004267767
"Cell1851","Cell1851","Batch1","Group6",42524.8053241211
"Cell1852","Cell1852","Batch1","Group4",78896.315617532
"Cell1853","Cell1853","Batch1","Group3",53733.8767832977
"Cell1854","Cell1854","Batch1","Group1",90680.1136878724
"Cell1855","Cell1855","Batch1","Group4",57471.698142652
"Cell1856","Cell1856","Batch1","Group6",53622.1014682819
"Cell1857","Cell1857","Batch1","Group2",60369.5050624576
"Cell1858","Cell1858","Batch1","Group1",77917.7861597409
"Cell1859","Cell1859","Batch1","Group6",41692.2258236082
"Cell1860","Cell1860","Batch1","Group5",56297.3217008851
"Cell1861","Cell1861","Batch1","Group5",63507.433366349
"Cell1862","Cell1862","Batch1","Group1",61670.0798897003
"Cell1863","Cell1863","Batch1","Group6",61278.8664518523
"Cell1864","Cell1864","Batch1","Group4",56124.8319195032
"Cell1865","Cell1865","Batch1","Group6",47663.7607400666
"Cell1866","Cell1866","Batch1","Group6",106113.430305779
"Cell1867","Cell1867","Batch1","Group3",44789.213128661
"Cell1868","Cell1868","Batch1","Group6",72893.0665225848
"Cell1869","Cell1869","Batch1","Group5",47974.8279479035
"Cell1870","Cell1870","Batch1","Group1",40143.7270226992
"Cell1871","Cell1871","Batch1","Group2",61706.4967040432
"Cell1872","Cell1872","Batch1","Group6",91289.734061622
"Cell1873","Cell1873","Batch1","Group6",67903.179221718
"Cell1874","Cell1874","Batch1","Group5",43151.4323904596
"Cell1875","Cell1875","Batch1","Group1",52486.1632760839
"Cell1876","Cell1876","Batch1","Group3",51530.9742093906
"Cell1877","Cell1877","Batch1","Group3",47618.3571790164
"Cell1878","Cell1878","Batch1","Group3",73535.4333467002
"Cell1879","Cell1879","Batch1","Group2",98283.1703409533
"Cell1880","Cell1880","Batch1","Group2",44771.9330268206
"Cell1881","Cell1881","Batch1","Group2",70576.5269737376
"Cell1882","Cell1882","Batch1","Group6",48373.6441131285
"Cell1883","Cell1883","Batch1","Group2",74522.8706988927
"Cell1884","Cell1884","Batch1","Group2",62574.8823694915
"Cell1885","Cell1885","Batch1","Group1",56576.6752892363
"Cell1886","Cell1886","Batch1","Group6",69010.2380898839
"Cell1887","Cell1887","Batch1","Group5",93162.0168700743
"Cell1888","Cell1888","Batch1","Group3",79412.6786425502
"Cell1889","Cell1889","Batch1","Group2",57565.5964260987
"Cell1890","Cell1890","Batch1","Group1",69638.7827091347
"Cell1891","Cell1891","Batch1","Group6",48106.848478083
"Cell1892","Cell1892","Batch1","Group6",65253.567944336
"Cell1893","Cell1893","Batch1","Group2",72555.7087491039
"Cell1894","Cell1894","Batch1","Group3",65631.5565725911
"Cell1895","Cell1895","Batch1","Group4",53141.2595276554
"Cell1896","Cell1896","Batch1","Group3",59336.6690252329
"Cell1897","Cell1897","Batch1","Group1",53300.2489590477
"Cell1898","Cell1898","Batch1","Group3",65419.3030408086
"Cell1899","Cell1899","Batch1","Group4",56272.0848232092
"Cell1900","Cell1900","Batch1","Group2",57264.3787097126
"Cell1901","Cell1901","Batch1","Group1",52758.6300848818
"Cell1902","Cell1902","Batch1","Group1",74119.8042812913
"Cell1903","Cell1903","Batch1","Group1",64053.8352346242
"Cell1904","Cell1904","Batch1","Group5",49477.3796463235
"Cell1905","Cell1905","Batch1","Group2",62958.7302189094
"Cell1906","Cell1906","Batch1","Group1",53657.1633557583
"Cell1907","Cell1907","Batch1","Group2",61123.2259791868
"Cell1908","Cell1908","Batch1","Group5",86959.9808020902
"Cell1909","Cell1909","Batch1","Group3",48620.5343888992
"Cell1910","Cell1910","Batch1","Group1",62567.2187272739
"Cell1911","Cell1911","Batch1","Group6",45037.0615012671
"Cell1912","Cell1912","Batch1","Group3",67724.5134011973
"Cell1913","Cell1913","Batch1","Group6",44877.2993743263
"Cell1914","Cell1914","Batch1","Group4",42601.5976650754
"Cell1915","Cell1915","Batch1","Group1",66932.6782886897
"Cell1916","Cell1916","Batch1","Group2",51528.8836276365
"Cell1917","Cell1917","Batch1","Group1",40368.8372399822
"Cell1918","Cell1918","Batch1","Group1",45940.7273999206
"Cell1919","Cell1919","Batch1","Group1",74243.5792887227
"Cell1920","Cell1920","Batch1","Group5",62017.1983831229
"Cell1921","Cell1921","Batch1","Group6",62416.5010845691
"Cell1922","Cell1922","Batch1","Group1",71584.9799119641
"Cell1923","Cell1923","Batch1","Group5",62300.3288549135
"Cell1924","Cell1924","Batch1","Group4",31689.5891219519
"Cell1925","Cell1925","Batch1","Group3",60110.3091409731
"Cell1926","Cell1926","Batch1","Group1",45304.6846059224
"Cell1927","Cell1927","Batch1","Group3",49679.7568844524
"Cell1928","Cell1928","Batch1","Group1",43225.757012744
"Cell1929","Cell1929","Batch1","Group5",64461.2487603815
"Cell1930","Cell1930","Batch1","Group2",94573.3759252047
"Cell1931","Cell1931","Batch1","Group1",65993.33122885
"Cell1932","Cell1932","Batch1","Group2",88117.8537070585
"Cell1933","Cell1933","Batch1","Group1",57157.9744803922
"Cell1934","Cell1934","Batch1","Group5",53772.1518576701
